Name,Position,Species,Speed,Strength,Gumption,Finesse,Accuracy,Wow_Factor,Catchphrase,Projected_Skill,Status,Player_Team,City_Team,GPs,TPs,City_team
Dead Soul Sucker,QB,Horror,23,9,9,31,90,39,Dead Soul Sucker is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Talon Stormwing,WR,Hawk,51,46,53,80,41,74,Talon Stormwing is ready to roll!,67,Active,No Team,Djibouti Warriors,0,7.84,
Clawmaster Icefang,K,Lynx,23,35,27,85,2,35,Clawmaster Icefang is ready to roll!,1,Healthy,No Team,No Team,0,0.0,
Chilled Ice Glider,WR,Penguin,99,25,80,84,7,3,Chilled Ice Glider is ready to roll!,73,Active,No Team,Paris Frenchmen,0,9.4,
Thumper Meadowtail,K,Rabbit,91,13,20,37,49,31,Thumper Meadowtail is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Red Vixen Vixenshadow,TE,Fox,77,33,32,100,76,31,Red Vixen Vixenshadow is ready to roll!,59,Benched,No Team,Philly Flowers,0,0.0,
Wooly Devil Slayer,TE,Monster,57,96,92,89,77,11,Wooly Devil Slayer is ready to roll!,74,Active,Demon Loons of Longview,Vancouver Maples,0,16.099999999999998,
Talon Cindersky,TE,Hawk,60,78,37,91,11,42,Talon Cindersky is ready to roll!,59,Benched,No Team,Boston Walkers,0,0.0,
Beastly Quicktail,K,Fox,49,89,89,23,3,3,Beastly Quicktail is ready to roll!,2,Healthy,No Team,No Team,0,0.0,
Hawkstorm Cindersky,TE,Hawk,28,13,6,89,5,48,Hawkstorm Cindersky is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Fanatic Karen,K,Horror,5,35,92,64,72,82,Fanatic Karen is ready to roll!,54,Benched,No Team,Cape Town Heroes,0,0.0,
Grizzle Gravelstone,QB,Badger,43,24,57,13,27,78,Grizzle Gravelstone is ready to roll!,33,Healthy,No Team,No Team,0,0.0,
Storm Sharpbeak,K,Hawk,22,39,45,33,90,25,Storm Sharpbeak is ready to roll!,67,Benched,No Team,Sydney Kangeroos,0,0.0,
Emporer Wild Style,QB,Penguin,23,30,100,94,53,66,Emporer Wild Style is ready to roll!,62,Benched,No Team,Dubuque Psychos,0,0.0,
Slyfire Sly,RB,Fox,24,14,90,56,99,11,Slyfire Sly is ready to roll!,60,Benched,No Team,Chicago Snowstorm,0,0.0,
Artic ReefStalker,K,Sea Creature,82,84,52,74,58,41,Artic ReefStalker is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Floof Flooferson,TE,Cat,74,28,58,89,57,42,Floof Flooferson is ready to roll!,67,Benched,No Team,Cleveland Devils,0,0.0,
Mystical Fairy,QB,Monster,18,37,87,30,81,40,Mystical Fairy is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Sea Serpant Slow Tide,K,Turtle,21,100,58,87,98,42,Sea Serpant Slow Tide is ready to roll!,73,Active,Forever Box,Dallas Tumbleweeds,0,30.0,
Otter King Stormtide,RB,Otter,25,39,25,10,39,65,Otter King Stormtide is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Quick Claws the Meak,RB,Cat,13,97,44,2,52,55,Quick Claws the Meak is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Yogi The Poo,WR,Bear,85,24,73,69,87,50,Yogi The Poo is ready to roll!,71,Active,Mochlings,LA Sunkillers,0,43.56,
Fury Blaze,RB,Fox,64,24,89,46,40,41,Fury Blaze is ready to roll!,62,Benched,No Team,Dubuque Psychos,0,0.0,
Tidal Deep Sea Tyrant,TE,Turtle,60,52,74,39,91,55,Tidal Deep Sea Tyrant is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Rogue Blackfang,QB,Wolf,5,75,49,33,6,82,Rogue Blackfang is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Panda Bear Big Beaver,RB,Bear,62,66,83,49,88,73,Panda Bear Big Beaver is ready to roll!,67,Active,No Team,Auckland Spiders,0,3.3,
Honk Crusher Quill,K,Goose,83,21,82,51,28,33,Honk Crusher Quill is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Ghost Sharpclaw,RB,Lynx,2,66,23,3,56,73,Ghost Sharpclaw is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Wild Blaze,RB,Fox,11,4,5,93,40,76,Wild Blaze is ready to roll!,54,Benched,No Team,Cleveland Devils,0,0.0,
Titan of the Deep Shellshock,K,Turtle,74,39,14,83,60,70,Titan of the Deep Shellshock is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Trash Titan Quickpaw,TE,Raccoon,30,4,49,13,40,8,Trash Titan Quickpaw is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Artic Bear,TE,Bear,55,1,3,54,61,94,Artic Bear is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Hawkstorm Falconeye,QB,Hawk,42,35,46,94,32,20,Hawkstorm Falconeye is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Quick Claws Floof,RB,Cat,93,87,52,84,72,3,Quick Claws Floof is ready to roll!,55,Benched,No Team,New Orleans Tubas,0,0.0,
Sly Swiftpaw,RB,Fox,68,54,35,86,43,99,Sly Swiftpaw is ready to roll!,68,Active,No Team,Cyprus Gods,0,7.320000000000001,
Shelly Meowerson,WR,Sea Creature,81,85,20,97,78,93,Shelly Meowerson is ready to roll!,89,Active,Armored Ducks,Boise Boys,0,63.03999999999999,
Honk Crusher Brave Waddles,RB,Goose,52,42,12,14,42,34,Honk Crusher Brave Waddles is ready to roll!,17,Healthy,No Team,No Team,0,0.0,
Righteous Skipper,WR,Sea Creature,60,4,20,38,7,52,Righteous Skipper is ready to roll!,49,Benched,No Team,Berlin Walls,0,0.0,
Honk Crusher Hawkbeak,RB,Goose,36,78,94,22,42,52,Honk Crusher Hawkbeak is ready to roll!,56,Benched,No Team,New York Sewers,0,0.0,
Unleashed Vile Fang,K,Wolf,75,51,85,29,52,84,Unleashed Vile Fang is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Nibbles Warren,RB,Rabbit,98,62,69,90,32,44,Nibbles Warren is ready to roll!,72,Active,BonerFarts,Paris Frenchmen,0,50.68,
Waddles Beakman,WR,Goose,25,21,34,30,39,77,Waddles Beakman is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Drift Pebblepath,WR,Turtle,75,55,8,76,74,61,Drift Pebblepath is ready to roll!,72,Active,Developers,Mexico City Ballers,0,37.24,
Rime Sharpclaw,QB,Lynx,42,4,27,50,97,48,Rime Sharpclaw is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Drift Reefwalker,K,Turtle,100,58,61,2,21,8,Drift Reefwalker is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
Night Rook Grim Bandit,K,Raccoon,71,90,64,54,9,24,Night Rook Grim Bandit is ready to roll!,6,Healthy,No Team,No Team,0,0.0,
Blaze Firewhisker,TE,Fox,68,56,96,12,7,14,Blaze Firewhisker is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Black Moon,QB,Bear,34,40,94,67,4,10,Black Moon is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Forsaken Devil,TE,Monster,31,98,30,9,32,85,Forsaken Devil is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
River Wavecrest,RB,Otter,12,22,38,74,41,4,River Wavecrest is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Brown Cub,QB,Bear,65,85,88,93,73,17,Brown Cub is ready to roll!,80,Active,Mochlings,Philly Flowers,0,32.76,
Ghost Snowstalker,QB,Lynx,59,6,69,34,68,56,Ghost Snowstalker is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Marsh Finsley,TE,Otter,84,75,70,37,97,13,Marsh Finsley is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Wild Otter Splash Knight,RB,Otter,85,20,76,98,5,2,Wild Otter Splash Knight is ready to roll!,70,Active,Demon Loons of Longview,Moscow Mules,0,38.68,
Quickfoot Thumper,K,Rabbit,87,39,10,75,72,19,Quickfoot Thumper is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Wild Otter Stormtide,TE,Otter,28,88,42,88,36,16,Wild Otter Stormtide is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Fury Sly,WR,Fox,71,90,34,93,8,44,Fury Sly is ready to roll!,74,Active,Forever Box,Tokyo Robots,0,53.11999999999999,
Ravager Hopper,TE,Rabbit,75,9,42,26,84,25,Ravager Hopper is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Nightmare Wolfbane,QB,Wolf,59,59,31,10,6,70,Nightmare Wolfbane is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Blizzard Greyhide,QB,Wolf,21,35,83,46,19,6,Blizzard Greyhide is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Alantic Nemo,QB,Sea Creature,58,12,67,55,91,22,Alantic Nemo is ready to roll!,62,Benched,No Team,Vancouver Maples,0,0.0,
Eldritch Soul Sucker,WR,Horror,50,99,64,24,69,71,Eldritch Soul Sucker is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Clover Meadowtail,RB,Rabbit,37,22,71,50,59,13,Clover Meadowtail is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Paddlebreaker Brave Paddler,RB,Otter,56,10,4,43,23,33,Paddlebreaker Brave Paddler is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Yogi Bear,QB,Bear,45,28,63,15,66,11,Yogi Bear is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Burrow Ironhide,WR,Badger,8,39,84,72,43,82,Burrow Ironhide is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Colonial Slapstick,K,Human,90,41,14,32,73,76,Colonial Slapstick is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Tidal Shellshock,WR,Turtle,6,64,25,57,66,50,Tidal Shellshock is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Diggs Shadowfang,TE,Badger,53,43,75,43,92,56,Diggs Shadowfang is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Amber Foxley,QB,Fox,76,73,79,12,47,24,Amber Foxley is ready to roll!,57,Healthy,No Team,No Team,0,0.0,
Fang Moonfang,WR,Wolf,94,68,32,14,63,49,Fang Moonfang is ready to roll!,53,Benched,No Team,Djibouti Warriors,0,0.0,
Sleak Seal Killer,QB,Penguin,55,4,65,39,87,2,Sleak Seal Killer is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Shelly Nemo,RB,Sea Creature,50,61,70,53,88,12,Shelly Nemo is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Sun Major,K,Bear,93,31,4,32,54,36,Sun Major is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Wild Sly,TE,Fox,33,60,3,15,43,23,Wild Sly is ready to roll!,11,Healthy,No Team,No Team,0,0.0,
The Gov'na Smelly,QB,Human,8,67,11,16,13,86,The Gov'na Smelly is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Gilbert ReefStalker,K,Sea Creature,33,29,3,57,83,89,Gilbert ReefStalker is ready to roll!,62,Benched,No Team,Cyprus Gods,0,0.0,
Night Rook The Wrecking,TE,Raccoon,39,63,49,31,34,11,Night Rook The Wrecking is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Thumper 'The Crusher' Swiftwhisker,K,Rabbit,83,75,9,29,25,62,Thumper 'The Crusher' Swiftwhisker is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
4-Eyed Gryphon,TE,Monster,56,14,92,18,14,97,4-Eyed Gryphon is ready to roll!,63,Healthy,No Team,No Team,0,0.0,
Emporer Ice Glider,K,Penguin,5,11,72,73,48,8,Emporer Ice Glider is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Stonecrusher Mighty Root,TE,Badger,60,92,46,7,14,77,Stonecrusher Mighty Root is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Thumper Warren,WR,Rabbit,53,49,45,77,72,49,Thumper Warren is ready to roll!,61,Benched,No Team,Philly Flowers,0,0.0,
Frostfang Fury Icefang,K,Lynx,66,100,94,42,72,52,Frostfang Fury Icefang is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Red Vixen Sly,TE,Fox,33,44,21,45,100,38,Red Vixen Sly is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Nightmare Darkstrike,QB,Wolf,57,90,67,13,40,96,Nightmare Darkstrike is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Nightmare Nightmare,RB,Horror,99,100,10,98,97,61,Nightmare Nightmare is ready to roll!,55,Benched,No Team,Dublin Alchoholics,0,0.0,
Danger Quickpaw,QB,Raccoon,99,5,95,7,23,45,Danger Quickpaw is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Manta Bottom Dewler,RB,Sea Creature,9,44,25,5,92,90,Manta Bottom Dewler is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Chilled Stormbreaker,QB,Penguin,34,60,53,64,44,91,Chilled Stormbreaker is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Happy GenTooth,K,Penguin,46,6,65,53,61,74,Happy GenTooth is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Tidal Braveshell,QB,Turtle,40,58,30,95,45,54,Tidal Braveshell is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Sea Serpant Sea Serpant,WR,Monster,67,91,82,68,91,29,Sea Serpant Sea Serpant is ready to roll!,59,Benched,No Team,Tokyo Robots,0,0.0,
Tidal Tidewalker,WR,Turtle,31,91,16,33,62,76,Tidal Tidewalker is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Nightmare Soul Sucker,WR,Horror,61,73,57,69,99,35,Nightmare Soul Sucker is ready to roll!,59,Benched,No Team,Mexico City Ballers,0,0.0,
Thumper 'The Crusher' Fleetfoot,TE,Rabbit,9,48,61,5,42,43,Thumper 'The Crusher' Fleetfoot is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Shellbane,K,Turtle,9,66,86,32,55,71,Titan of the Deep Shellbane is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Velvet Shadowthump,K,Rabbit,69,77,15,87,88,68,Velvet Shadowthump is ready to roll!,66,Active,No Team,Djibouti Warriors,0,34.0,
Rime Nightroar,RB,Lynx,2,26,28,34,76,18,Rime Nightroar is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Razertooth Clown,QB,Horror,69,34,38,73,53,44,Razertooth Clown is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Venomspike,RB,Turtle,97,81,59,3,18,33,Titan of the Deep Venomspike is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Tinker Gutteridge,RB,Raccoon,33,71,73,56,87,65,Tinker Gutteridge is ready to roll!,64,Benched,No Team,Miami Palm Fronds,0,0.0,
Winged Wrecker Honkerson,WR,Goose,46,31,65,49,64,31,Winged Wrecker Honkerson is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Talon Darkstorm,WR,Hawk,87,96,83,17,27,60,Talon Darkstorm is ready to roll!,53,Benched,No Team,Jakarta Divers,0,0.0,
Smelly Lil Guy,QB,Human,98,18,61,4,32,13,Smelly Lil Guy is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Gilbert Meowerson,TE,Sea Creature,15,99,69,31,80,93,Gilbert Meowerson is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Polar The Poo,RB,Bear,71,20,55,96,78,30,Polar The Poo is ready to roll!,66,Active,No Team,Lima Llamas,0,6.6000000000000005,
Clawmaster Silentstrike,RB,Lynx,36,62,54,2,74,78,Clawmaster Silentstrike is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Velvet Scarletfang,WR,Rabbit,38,67,1,15,44,54,Velvet Scarletfang is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Winged Wrecker Brave Waddles,K,Goose,97,67,98,17,27,17,Winged Wrecker Brave Waddles is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Quick Claws Panther,RB,Cat,25,76,45,94,6,5,Quick Claws Panther is ready to roll!,56,Benched,No Team,Auckland Spiders,0,0.0,
4-Eyed Dragon,K,Monster,36,63,90,95,67,28,4-Eyed Dragon is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
River Destroyer Mudwhisker,WR,Otter,99,53,54,57,99,27,River Destroyer Mudwhisker is ready to roll!,67,Active,BonerFarts,Sydney Kangeroos,0,10.12,
Happy Seal Killer,WR,Penguin,74,20,76,65,43,81,Happy Seal Killer is ready to roll!,71,Active,No Team,Dubuque Psychos,0,7.32,
Hopper Warren,K,Rabbit,92,94,86,16,25,84,Hopper Warren is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
Eldritch Cthulhu,RB,Horror,34,99,81,32,82,16,Eldritch Cthulhu is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Sliding Ice Glider,WR,Penguin,12,40,45,19,92,35,Sliding Ice Glider is ready to roll!,19,Healthy,No Team,No Team,0,0.0,
Clown of the Deep,QB,Sea Creature,5,50,85,26,60,27,Clown of the Deep is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Root Hollowfang,RB,Badger,11,90,39,25,82,39,Root Hollowfang is ready to roll!,33,Healthy,No Team,No Team,0,0.0,
Shellstorm Venomspike,RB,Turtle,56,5,29,14,36,87,Shellstorm Venomspike is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Gustav Gosling,K,Goose,89,87,65,16,6,74,Gustav Gosling is ready to roll!,4,Healthy,No Team,No Team,0,0.0,
Flying Beast Vengeful Talon,RB,Hawk,57,72,83,26,94,10,Flying Beast Vengeful Talon is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Tundra Sharpclaw,RB,Lynx,42,59,4,80,5,54,Tundra Sharpclaw is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Stonecrusher Deepwood Menace,QB,Badger,28,12,55,100,19,8,Stonecrusher Deepwood Menace is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Draconic Summoner,QB,Monster,42,47,95,57,12,27,Draconic Summoner is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Yogi Moon,RB,Bear,82,5,85,80,50,11,Yogi Moon is ready to roll!,68,Active,No Team,Dublin Alchoholics,0,11.239999999999997,
Nibbles Dandelion,WR,Rabbit,84,55,11,72,85,73,Nibbles Dandelion is ready to roll!,77,Active,Mochlings,Boston Walkers,0,27.48,
Hawkstorm Thunderbeak,K,Hawk,14,100,78,60,14,23,Hawkstorm Thunderbeak is ready to roll!,10,Healthy,No Team,No Team,0,0.0,
Storm Cloudpiercer,QB,Hawk,46,43,66,93,35,29,Storm Cloudpiercer is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Happy Wild Style,QB,Penguin,23,39,40,71,39,60,Happy Wild Style is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Danger Stealthy,K,Raccoon,92,25,3,95,13,2,Danger Stealthy is ready to roll!,9,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Tidewalker,K,Turtle,44,75,62,92,77,32,Titan of the Deep Tidewalker is ready to roll!,57,Benched,No Team,Boston Walkers,0,0.0,
Diggs Ironclaw,K,Badger,3,16,76,11,2,73,Diggs Ironclaw is ready to roll!,1,Healthy,No Team,No Team,0,0.0,
Quill Featherstone,TE,Goose,82,35,36,19,78,16,Quill Featherstone is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Rust Sharpclaw,RB,Fox,76,67,93,54,77,90,Rust Sharpclaw is ready to roll!,76,Active,Developers,Cyprus Gods,0,30.52,
Trash Titan Stealthy,TE,Raccoon,7,93,42,1,69,59,Trash Titan Stealthy is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Iron Fang Darkstrike,RB,Wolf,98,67,64,99,42,97,Iron Fang Darkstrike is ready to roll!,84,Active,Charmander These Nuts,Tokyo Robots,0,25.02,
Masked Marauder Nighthowler,QB,Raccoon,37,64,41,97,39,48,Masked Marauder Nighthowler is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Waddles Wingate,TE,Goose,67,18,90,38,50,98,Waddles Wingate is ready to roll!,70,Active,No Team,Dubuque Psychos,0,14.04,
4-Eyed Druid,RB,Monster,66,25,74,55,49,70,4-Eyed Druid is ready to roll!,65,Active,No Team,Denver Boulders,0,6.880000000000001,
Velvet Thumper,QB,Rabbit,37,5,42,38,28,50,Velvet Thumper is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Ravager Grimhopper,RB,Rabbit,11,12,70,26,57,14,Ravager Grimhopper is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Burrow Dirtpaw,K,Badger,78,27,37,92,22,44,Burrow Dirtpaw is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Colonial King of Man,TE,Human,7,81,55,22,96,57,Colonial King of Man is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Fanatic Necromancer,K,Monster,1,74,2,25,49,91,Fanatic Necromancer is ready to roll!,36,Healthy,No Team,No Team,0,0.0,
Nibbles Bleepy,RB,Cat,55,34,2,58,56,33,Nibbles Bleepy is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Dash Swiftpaw,RB,Fox,47,16,69,50,80,96,Dash Swiftpaw is ready to roll!,66,Active,No Team,Boston Walkers,0,0.52,
Royal Devil,QB,Monster,75,93,81,84,23,54,Royal Devil is ready to roll!,65,Benched,anxious ponchos,Denver Boulders,0,0.0,
Beastly Darkflame,RB,Fox,41,44,81,39,55,33,Beastly Darkflame is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Gustav Honkerson,TE,Goose,95,32,7,26,89,93,Gustav Honkerson is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Cyclops Centaur,RB,Monster,50,22,5,32,88,68,Cyclops Centaur is ready to roll!,28,Healthy,No Team,No Team,0,0.0,
Scraps Nightwhisker,RB,Raccoon,44,48,77,38,72,84,Scraps Nightwhisker is ready to roll!,62,Benched,No Team,Cyprus Gods,0,0.0,
Hops of Fury Nibbles of Doom,RB,Rabbit,49,31,17,76,74,80,Hops of Fury Nibbles of Doom is ready to roll!,53,Benched,No Team,Miami Palm Fronds,0,0.0,
Sky Crusher Skystrike,WR,Hawk,94,73,49,73,73,24,Sky Crusher Skystrike is ready to roll!,71,Active,Mochlings,New Orleans Tubas,0,38.91999999999998,
Rusty Trashpaw,RB,Raccoon,48,3,78,19,76,16,Rusty Trashpaw is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Fury Fang Silverfang,WR,Wolf,75,21,49,47,48,45,Fury Fang Silverfang is ready to roll!,57,Benched,No Team,Tokyo Robots,0,0.0,
Flapstorm Hawkbeak,WR,Goose,11,9,22,67,64,63,Flapstorm Hawkbeak is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Blizzard Howlington,WR,Wolf,71,56,95,99,11,60,Blizzard Howlington is ready to roll!,80,Active,Forever Box,Jackson Hole Holy Jacks,0,15.92,
Howler Snowfur,WR,Wolf,52,6,4,47,55,23,Howler Snowfur is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Drift Shellington,QB,Turtle,45,62,96,53,82,48,Drift Shellington is ready to roll!,72,Active,Developers,Djibouti Warriors,0,58.24,
Trash Titan King Trashpaw,RB,Raccoon,47,14,42,52,86,100,Trash Titan King Trashpaw is ready to roll!,57,Benched,No Team,Paris Frenchmen,0,0.0,
Winged Wrecker Defender,TE,Goose,13,35,47,22,54,10,Winged Wrecker Defender is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Tidal Slow Tide,RB,Turtle,64,88,26,41,78,76,Tidal Slow Tide is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Floof SoftPaws,QB,Cat,56,47,90,30,17,47,Floof SoftPaws is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Soul Collector Soul Sucker,WR,Horror,44,61,34,1,34,4,Soul Collector Soul Sucker is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
Nightmare Shadow,WR,Wolf,76,17,81,47,32,46,Nightmare Shadow is ready to roll!,58,Benched,No Team,Vancouver Maples,0,0.0,
Sleepy Bear,TE,Bear,48,65,72,73,32,25,Sleepy Bear is ready to roll!,63,Benched,No Team,Cyprus Gods,0,0.0,
Zorro Trashpaw,QB,Raccoon,27,79,1,61,14,93,Zorro Trashpaw is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Frostfang Fury BlizzeRidge,WR,Lynx,41,31,35,53,95,26,Frostfang Fury BlizzeRidge is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Razertooth Devil,WR,Horror,20,72,22,93,59,35,Razertooth Devil is ready to roll!,52,Benched,No Team,Moscow Mules,0,0.0,
Abyssal Panther,WR,Cat,68,21,82,57,86,59,Abyssal Panther is ready to roll!,61,Benched,No Team,Lima Llamas,0,0.0,
Shellstorm Tidewalker,QB,Turtle,99,45,35,100,51,13,Shellstorm Tidewalker is ready to roll!,60,Benched,No Team,Dublin Alchoholics,0,0.0,
Snap Pebblepath,K,Turtle,70,41,95,39,59,58,Snap Pebblepath is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Fury Sinister,K,Fox,75,90,31,12,99,61,Fury Sinister is ready to roll!,74,Active,anxious ponchos,Cape Town Heroes,0,25.0,
Ursa Sun Seeker,K,Bear,54,20,41,69,35,21,Ursa Sun Seeker is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Floofy Floof,WR,Cat,43,12,26,7,9,62,Floofy Floof is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
4-Eyed Sea Serpant,TE,Monster,49,13,81,20,20,98,4-Eyed Sea Serpant is ready to roll!,60,Benched,No Team,Lima Llamas,0,0.0,
Sliding Ice Veins,RB,Penguin,13,30,26,67,61,86,Sliding Ice Veins is ready to roll!,54,Benched,No Team,Djibouti Warriors,0,0.0,
Invisible Horror,RB,Horror,44,78,56,64,13,34,Invisible Horror is ready to roll!,54,Benched,No Team,Cape Town Heroes,0,0.0,
Tide Pebblepath,QB,Turtle,64,43,79,76,45,34,Tide Pebblepath is ready to roll!,60,Healthy,No Team,No Team,0,0.0,
Abyssal the Meak,QB,Cat,41,40,47,65,60,12,Abyssal the Meak is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Talon Viperwing,TE,Hawk,81,56,51,73,96,26,Talon Viperwing is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Drunk Skinny,RB,Human,20,40,74,12,41,50,Drunk Skinny is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Unleashed Valorhowl,WR,Wolf,36,79,64,93,39,87,Unleashed Valorhowl is ready to roll!,68,Active,No Team,Philly Flowers,0,0.32,
Fury Quicktail,TE,Fox,49,2,42,17,3,95,Fury Quicktail is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Silent Strike Silentstrike,K,Lynx,27,13,75,95,60,61,Silent Strike Silentstrike is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Sea Serpant Druid,TE,Monster,7,8,93,92,43,82,Sea Serpant Druid is ready to roll!,90,Active,No Team,Boston Walkers,0,4.2,
Dash Fleetwhisker,TE,Rabbit,4,4,39,73,56,60,Dash Fleetwhisker is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Iron Beak Feet,WR,Penguin,14,92,40,1,43,49,Iron Beak Feet is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
Emporer GenTooth,RB,Penguin,19,66,100,98,13,39,Emporer GenTooth is ready to roll!,87,Active,Charmander These Nuts,Sydney Kangeroos,0,24.86,
Drunk Friend of the Forest,WR,Human,53,37,67,26,45,93,Drunk Friend of the Forest is ready to roll!,50,Benched,No Team,Vancouver Maples,0,0.0,
Amber Cinderfang,WR,Fox,28,32,50,43,10,12,Amber Cinderfang is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
